tag,C,class_weight,tol,degree,gamma,coef0,fold,accuracy,precision,recall,F1,auroc,prauc
C=0.1 | class_weight=None | tol=0.1 | degree=1 | gamma=0.5 | coef0=3,0.1,,0.1,1,0.5,3,5,0.4435367611725132,0.28141107920717895,0.4435367611725132,0.3285112830684654,0.674498838859155,0.44796241199308773
C=0.1 | class_weight=None | tol=0.1 | degree=5 | gamma=0.01 | coef0=0,0.1,,0.1,5,0.01,0,1,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.6111408232867697,0.4038590309050781
C=0.1 | class_weight=None | tol=0.1 | degree=5 | gamma=0.01 | coef0=0,0.1,,0.1,5,0.01,0,2,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5946898282619029,0.38997523227094105
C=0.1 | class_weight=None | tol=0.1 | degree=5 | gamma=0.01 | coef0=0,0.1,,0.1,5,0.01,0,3,0.4462055715658021,0.19909941209636414,0.4462055715658021,0.27534040251386926,0.593976451234648,0.3908547837153243
C=0.1 | class_weight=None | tol=0.1 | degree=5 | gamma=0.01 | coef0=0,0.1,,0.1,5,0.01,0,4,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.6151722121903775,0.40014871466754376
C=0.1 | class_weight=None | tol=0.1 | degree=5 | gamma=0.01 | coef0=0,0.1,,0.1,5,0.01,0,5,0.44690052859202306,0.19972008245582962,0.44690052859202306,0.2760660854138701,0.5572959622786848,0.36260951825736676
C=0.1 | class_weight=None | tol=0.1 | degree=5 | gamma=0.01 | coef0=3,0.1,,0.1,5,0.01,3,1,0.6709894332372719,0.676990693601451,0.6709894332372719,0.658782112212179,0.8641325292784433,0.7359180462126157
C=0.1 | class_weight=None | tol=0.1 | degree=5 | gamma=0.01 | coef0=3,0.1,,0.1,5,0.01,3,2,0.6695485110470701,0.6683226386423806,0.6695485110470701,0.6564266851682764,0.8722788876266926,0.7465230264322208
C=0.1 | class_weight=None | tol=0.1 | degree=5 | gamma=0.01 | coef0=3,0.1,,0.1,5,0.01,3,3,0.6805955811719501,0.6877401436004166,0.6805955811719501,0.6671156190806519,0.8704643647408821,0.7436200816468078
C=0.1 | class_weight=None | tol=0.1 | degree=5 | gamma=0.01 | coef0=3,0.1,,0.1,5,0.01,3,4,0.6719500480307397,0.6754050616146272,0.6719500480307397,0.658972280667714,0.8618240999349605,0.7249163550408724
C=0.1 | class_weight=None | tol=0.1 | degree=5 | gamma=0.01 | coef0=3,0.1,,0.1,5,0.01,3,5,0.671792407496396,0.6763138406431662,0.671792407496396,0.6609819166378781,0.8587980431912866,0.7225182887407788
C=0.1 | class_weight=None | tol=0.1 | degree=5 | gamma=0.5 | coef0=0,0.1,,0.1,5,0.5,0,1,0.6551392891450528,0.6983914734968796,0.6551392891450528,0.6285510712591004,0.8666020408079435,0.7483728089185657
C=0.1 | class_weight=None | tol=0.1 | degree=5 | gamma=0.5 | coef0=0,0.1,,0.1,5,0.5,0,2,0.6498559077809798,0.6937602304704807,0.6498559077809798,0.6232752982946338,0.8593062294184098,0.7354319777217967
C=0.1 | class_weight=None | tol=0.1 | degree=5 | gamma=0.5 | coef0=0,0.1,,0.1,5,0.5,0,3,0.6532180595581172,0.6948209650572763,0.6532180595581172,0.624820517393955,0.8572338743708489,0.7311233030918511
C=0.1 | class_weight=None | tol=0.1 | degree=5 | gamma=0.5 | coef0=0,0.1,,0.1,5,0.5,0,4,0.6575408261287223,0.7050277612763323,0.6575408261287223,0.628371729948353,0.8612304778400818,0.7437687654306341
C=0.1 | class_weight=None | tol=0.1 | degree=5 | gamma=0.5 | coef0=0,0.1,,0.1,5,0.5,0,5,0.6549735703988467,0.7065609873959079,0.6549735703988467,0.6242889019363623,0.8563027695188796,0.7275590490065259
C=0.1 | class_weight=None | tol=0.1 | degree=5 | gamma=0.5 | coef0=3,0.1,,0.1,5,0.5,3,1,0.8741594620557157,0.8771459549948704,0.8741594620557157,0.8748632516197115,0.9805363338523843,0.951034311641106
C=0.1 | class_weight=None | tol=0.1 | degree=5 | gamma=0.5 | coef0=3,0.1,,0.1,5,0.5,3,2,0.8876080691642652,0.8916922337624238,0.8876080691642652,0.8882511703605469,0.9827631471974904,0.9570359003080806
