tag,C,tol,lambda_,n_measurements,fold,accuracy,precision,recall,F1,auroc,prauc
C=1 | tol=0.1 | lambda_=1 | n_measurements=None,1.0,0.1,1.0,,5,0.6634615384615384,0.6448862442202606,0.6634615384615384,0.6370771961118197,0.875069697353963,0.7886345130548188
C=1 | tol=0.1 | lambda_=5 | n_measurements=None,1.0,0.1,5.0,,1,0.5142857142857142,0.528395061728395,0.5142857142857142,0.4587868216877749,0.7062578946651502,0.5575081573250013
C=1 | tol=0.1 | lambda_=5 | n_measurements=None,1.0,0.1,5.0,,2,0.49038461538461536,0.466272378516624,0.49038461538461536,0.4568089238347859,0.6931321096439775,0.5307072259237493
C=1 | tol=0.1 | lambda_=5 | n_measurements=None,1.0,0.1,5.0,,3,0.5480769230769231,0.49513595924199644,0.5480769230769231,0.4803906888920961,0.7312299151179439,0.5438402404725863
C=1 | tol=0.1 | lambda_=5 | n_measurements=None,1.0,0.1,5.0,,4,0.6153846153846154,0.646733108440855,0.6153846153846154,0.5761935553966718,0.7645213881023996,0.5571440947512891
C=1 | tol=0.1 | lambda_=5 | n_measurements=None,1.0,0.1,5.0,,5,0.5096153846153846,0.5100332781253833,0.5096153846153846,0.48806835876673926,0.6541790046580316,0.48270331039743175
C=1 | tol=5 | lambda_=0.1 | n_measurements=None,1.0,5.0,0.1,,1,0.4380952380952381,0.19192743764172335,0.4380952380952381,0.26691895301166824,0.5,0.30158730158730157
C=1 | tol=5 | lambda_=0.1 | n_measurements=None,1.0,5.0,0.1,,2,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.5,0.3099112426035503
C=1 | tol=5 | lambda_=0.1 | n_measurements=None,1.0,5.0,0.1,,3,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.5,0.3099112426035503
C=1 | tol=5 | lambda_=0.1 | n_measurements=None,1.0,5.0,0.1,,4,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.5,0.3099112426035503
C=1 | tol=5 | lambda_=0.1 | n_measurements=None,1.0,5.0,0.1,,5,0.4423076923076923,0.19563609467455623,0.4423076923076923,0.27128205128205124,0.5,0.3017751479289941
C=1 | tol=5 | lambda_=1 | n_measurements=None,1.0,5.0,1.0,,1,0.4380952380952381,0.19192743764172335,0.4380952380952381,0.26691895301166824,0.5,0.30158730158730157
C=1 | tol=5 | lambda_=1 | n_measurements=None,1.0,5.0,1.0,,2,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.5,0.3099112426035503
C=1 | tol=5 | lambda_=1 | n_measurements=None,1.0,5.0,1.0,,3,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.5,0.3099112426035503
C=1 | tol=5 | lambda_=1 | n_measurements=None,1.0,5.0,1.0,,4,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.5,0.3099112426035503
C=1 | tol=5 | lambda_=1 | n_measurements=None,1.0,5.0,1.0,,5,0.4423076923076923,0.19563609467455623,0.4423076923076923,0.27128205128205124,0.5,0.3017751479289941
C=1 | tol=5 | lambda_=5 | n_measurements=None,1.0,5.0,5.0,,1,0.4380952380952381,0.19192743764172335,0.4380952380952381,0.26691895301166824,0.5,0.30158730158730157
C=1 | tol=5 | lambda_=5 | n_measurements=None,1.0,5.0,5.0,,2,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.5,0.3099112426035503
C=1 | tol=5 | lambda_=5 | n_measurements=None,1.0,5.0,5.0,,3,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.5,0.3099112426035503
C=1 | tol=5 | lambda_=5 | n_measurements=None,1.0,5.0,5.0,,4,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.5,0.3099112426035503
C=1 | tol=5 | lambda_=5 | n_measurements=None,1.0,5.0,5.0,,5,0.4423076923076923,0.19563609467455623,0.4423076923076923,0.27128205128205124,0.5,0.3017751479289941
