tag,C,class_weight,decision_function_shape,tol,gamma,coef0,fold,accuracy,precision,recall,F1,auroc,prauc
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=10 | gamma=0.01 | coef0=3,0.1,,ovr,10.0,0.01,3,5,0.44690052859202306,0.19972008245582962,0.44690052859202306,0.2760660854138701,0.5,0.30584005166997996
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=10 | gamma=0.5 | coef0=0,0.1,,ovr,10.0,0.5,0,1,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30576018219383744
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=10 | gamma=0.5 | coef0=0,0.1,,ovr,10.0,0.5,0,2,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.3059502750348119
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=10 | gamma=0.5 | coef0=0,0.1,,ovr,10.0,0.5,0,3,0.4462055715658021,0.19909941209636414,0.4462055715658021,0.27534040251386926,0.5,0.30541413940080153
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=10 | gamma=0.5 | coef0=0,0.1,,ovr,10.0,0.5,0,4,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30563191566521886
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=10 | gamma=0.5 | coef0=0,0.1,,ovr,10.0,0.5,0,5,0.44690052859202306,0.19972008245582962,0.44690052859202306,0.2760660854138701,0.5,0.30584005166997996
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=10 | gamma=0.5 | coef0=3,0.1,,ovr,10.0,0.5,3,1,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30576018219383744
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=10 | gamma=0.5 | coef0=3,0.1,,ovr,10.0,0.5,3,2,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.3059502750348119
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=10 | gamma=0.5 | coef0=3,0.1,,ovr,10.0,0.5,3,3,0.4462055715658021,0.19909941209636414,0.4462055715658021,0.27534040251386926,0.5,0.30541413940080153
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=10 | gamma=0.5 | coef0=3,0.1,,ovr,10.0,0.5,3,4,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30563191566521886
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=10 | gamma=0.5 | coef0=3,0.1,,ovr,10.0,0.5,3,5,0.44690052859202306,0.19972008245582962,0.44690052859202306,0.2760660854138701,0.5,0.30584005166997996
C=1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.01 | coef0=0,1.0,balanced,ovr,0.1,0.01,0,1,0.3270893371757925,0.48655741398356284,0.3270893371757925,0.3055892223267315,0.6653273232946421,0.4321536011122069
C=1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.01 | coef0=0,1.0,balanced,ovr,0.1,0.01,0,2,0.3318924111431316,0.5448126738363624,0.3318924111431316,0.3052779356923399,0.6783810679017883,0.45387098209194177
C=1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.01 | coef0=0,1.0,balanced,ovr,0.1,0.01,0,3,0.3376560999039385,0.536469161268172,0.3376560999039385,0.310315724160371,0.6562490837309254,0.43100470665405033
C=1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.01 | coef0=0,1.0,balanced,ovr,0.1,0.01,0,4,0.3424591738712776,0.5045742540560078,0.3424591738712776,0.31276588280303863,0.669438251643287,0.43997885407677256
C=1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.01 | coef0=0,1.0,balanced,ovr,0.1,0.01,0,5,0.3118692936088419,0.47192608894653887,0.3118692936088419,0.28533205461027344,0.6597600674154044,0.4291394736488002
C=1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.01 | coef0=3,1.0,balanced,ovr,0.1,0.01,3,1,0.297790585975024,0.3239718590952464,0.297790585975024,0.29996445351848505,0.674657007925903,0.4475660003934897
C=1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.01 | coef0=3,1.0,balanced,ovr,0.1,0.01,3,2,0.3035542747358309,0.31953389156036216,0.3035542747358309,0.300792526128022,0.6824988544651222,0.4550366069629403
C=1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.01 | coef0=3,1.0,balanced,ovr,0.1,0.01,3,3,0.29346781940441885,0.31834197891628,0.29346781940441885,0.29428772321309676,0.6705065081204566,0.4522325176159784
C=1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.01 | coef0=3,1.0,balanced,ovr,0.1,0.01,3,4,0.3376560999039385,0.30734519195405996,0.3376560999039385,0.3076630470275039,0.6741085223447179,0.4421591980177529
C=1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.01 | coef0=3,1.0,balanced,ovr,0.1,0.01,3,5,0.2580490148966843,0.6595769333640737,0.2580490148966843,0.15161626978135387,0.6668421170316691,0.4354012182869328
C=1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.5 | coef0=0,1.0,balanced,ovr,0.1,0.5,0,1,0.12776176753121998,0.22708815354812958,0.12776176753121998,0.13581185488907419,0.6415245801723178,0.4412221060371194
C=1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.5 | coef0=0,1.0,balanced,ovr,0.1,0.5,0,2,0.12007684918347743,0.2325915689875173,0.12007684918347743,0.13311480422371674,0.6404141429310869,0.43833311747417064
C=1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.5 | coef0=0,1.0,balanced,ovr,0.1,0.5,0,3,0.11719500480307397,0.22388127996697516,0.11719500480307397,0.12571097357899022,0.6445333266630691,0.4484887781960157
