tag,n_estimators,learning_rate,max_depth,lambda_,n_measurements,fold,accuracy,precision,recall,F1,auroc,prauc
n_estimators=100 | learning_rate=0.01 | max_depth=4 | lambda_=0.1 | n_measurements=None,100,0.01,4,0.1,,1,0.6857142857142857,0.7376610540435595,0.6857142857142857,0.6591778591778591,0.9315183667472389,0.864825347699227
n_estimators=500 | learning_rate=0.1 | max_depth=4 | lambda_=0.1 | n_measurements=None,500,0.1,4,0.1,,3,0.9423076923076923,0.9443108974358974,0.9423076923076923,0.9419240998363339,0.9953241365522068,0.98363683537096
n_estimators=500 | learning_rate=0.1 | max_depth=4 | lambda_=0.1 | n_measurements=None,500,0.1,4,0.1,,4,0.8557692307692307,0.8624512329775487,0.8557692307692307,0.8562832785770929,0.9685884940270906,0.935622404730056
n_estimators=500 | learning_rate=0.1 | max_depth=4 | lambda_=0.1 | n_measurements=None,500,0.1,4,0.1,,5,0.8365384615384616,0.8437799945152886,0.8365384615384616,0.833070920345405,0.96833785091401,0.9441919719863462
n_estimators=500 | learning_rate=0.1 | max_depth=4 | lambda_=5 | n_measurements=None,500,0.1,4,5.0,,1,0.580952380952381,0.5722183881604171,0.580952380952381,0.5705448609703928,0.826910586202234,0.6834366809425357
n_estimators=500 | learning_rate=0.1 | max_depth=4 | lambda_=5 | n_measurements=None,500,0.1,4,5.0,,2,0.6057692307692307,0.5800447382478633,0.6057692307692307,0.5784193993387239,0.8044725155019272,0.6644998131904843
n_estimators=500 | learning_rate=0.1 | max_depth=4 | lambda_=5 | n_measurements=None,500,0.1,4,5.0,,3,0.5961538461538461,0.536247221560689,0.5961538461538461,0.5481006026772617,0.8064137845871593,0.6467330380639628
n_estimators=500 | learning_rate=0.1 | max_depth=4 | lambda_=5 | n_measurements=None,500,0.1,4,5.0,,4,0.5769230769230769,0.5480594722881474,0.5769230769230769,0.5564325917984455,0.7550873370790812,0.5610122731296434
n_estimators=500 | learning_rate=0.1 | max_depth=4 | lambda_=5 | n_measurements=None,500,0.1,4,5.0,,5,0.5769230769230769,0.5489495798319328,0.5769230769230769,0.5534923802612481,0.7502287390775468,0.6119847868032543
n_estimators=500 | learning_rate=0.1 | max_depth=10 | lambda_=0.1 | n_measurements=None,500,0.1,10,0.1,,1,0.8095238095238095,0.8097037037037038,0.8095238095238095,0.8063156427693184,0.9447395097111546,0.8911929217664348
n_estimators=500 | learning_rate=0.1 | max_depth=10 | lambda_=0.1 | n_measurements=None,500,0.1,10,0.1,,2,0.8173076923076923,0.8274418016194333,0.8173076923076923,0.8114920524422787,0.9722794080895215,0.9310696434959795
n_estimators=500 | learning_rate=0.1 | max_depth=10 | lambda_=0.1 | n_measurements=None,500,0.1,10,0.1,,3,0.9423076923076923,0.9438461538461538,0.9423076923076923,0.9415064102564104,0.9946831109111811,0.9811977627719568
n_estimators=500 | learning_rate=0.1 | max_depth=10 | lambda_=0.1 | n_measurements=None,500,0.1,10,0.1,,4,0.8846153846153846,0.8911539588231319,0.8846153846153846,0.8853537087912087,0.972954465936922,0.9430542491329408
n_estimators=500 | learning_rate=0.1 | max_depth=10 | lambda_=0.1 | n_measurements=None,500,0.1,10,0.1,,5,0.8173076923076923,0.8236604082192318,0.8173076923076923,0.8142265237626063,0.9702842601880055,0.9482001374363692
n_estimators=500 | learning_rate=0.1 | max_depth=10 | lambda_=5 | n_measurements=None,500,0.1,10,5.0,,1,0.5619047619047619,0.5558777897123762,0.5619047619047619,0.54869882365028,0.8292168675654347,0.6851636046375085
n_estimators=500 | learning_rate=0.1 | max_depth=10 | lambda_=5 | n_measurements=None,500,0.1,10,5.0,,2,0.5961538461538461,0.571601278838121,0.5961538461538461,0.5708663131740054,0.7893350562597209,0.6405986025263642
n_estimators=500 | learning_rate=0.1 | max_depth=10 | lambda_=5 | n_measurements=None,500,0.1,10,5.0,,3,0.5961538461538461,0.5792352340859803,0.5961538461538461,0.5640034418053574,0.8118457804474316,0.6608242091458641
n_estimators=500 | learning_rate=0.1 | max_depth=10 | lambda_=5 | n_measurements=None,500,0.1,10,5.0,,4,0.5673076923076923,0.5385325881015536,0.5673076923076923,0.5471221106129642,0.7409508142738276,0.54975290368285
n_estimators=500 | learning_rate=0.1 | max_depth=10 | lambda_=5 | n_measurements=None,500,0.1,10,5.0,,5,0.5769230769230769,0.5586006735200283,0.5769230769230769,0.552970277970278,0.7501435303379563,0.5914968560324393
