tag,n_estimators,learning_rate,max_depth,rate_drop,skip_drop,fold,accuracy,precision,recall,F1,auroc,prauc
n_estimators=100 | learning_rate=0.01 | max_depth=4 | rate_drop=0.1 | skip_drop=0.1,100,0.01,4,0.1,0.1,1,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.9286629322696016,0.8438220267707557
n_estimators=500 | learning_rate=0.01 | max_depth=4 | rate_drop=0.5 | skip_drop=0.1,500,0.01,4,0.5,0.1,2,0.5398655139289145,0.6355599930412157,0.5398655139289145,0.4470783967308802,0.9378582818191739,0.8594044901660594
n_estimators=500 | learning_rate=0.01 | max_depth=4 | rate_drop=0.5 | skip_drop=0.1,500,0.01,4,0.5,0.1,3,0.5446685878962536,0.6060106321043534,0.5446685878962536,0.45407291520408916,0.9389984327583465,0.8611422480809194
n_estimators=500 | learning_rate=0.01 | max_depth=4 | rate_drop=0.5 | skip_drop=0.1,500,0.01,4,0.5,0.1,4,0.5537944284341979,0.6177507800422759,0.5537944284341979,0.4691519478788215,0.9385047076986516,0.8568786915821522
n_estimators=500 | learning_rate=0.01 | max_depth=4 | rate_drop=0.5 | skip_drop=0.1,500,0.01,4,0.5,0.1,5,0.54925516578568,0.609863166181608,0.54925516578568,0.4617116638078388,0.9312316546665069,0.8466251196825056
n_estimators=500 | learning_rate=0.01 | max_depth=4 | rate_drop=0.5 | skip_drop=0.5,500,0.01,4,0.5,0.5,1,0.8040345821325648,0.8045755146652052,0.8040345821325648,0.800039492384413,0.9618692136513131,0.9060172971675464
n_estimators=500 | learning_rate=0.01 | max_depth=4 | rate_drop=0.5 | skip_drop=0.5,500,0.01,4,0.5,0.5,2,0.8261287223823247,0.8288439387248674,0.8261287223823247,0.8223823470833108,0.9635077018291083,0.9116354060424313
n_estimators=500 | learning_rate=0.01 | max_depth=4 | rate_drop=0.5 | skip_drop=0.5,500,0.01,4,0.5,0.5,3,0.8218059558117194,0.825258910275516,0.8218059558117194,0.8176130518958247,0.9616393624888139,0.9124074406253703
n_estimators=500 | learning_rate=0.01 | max_depth=4 | rate_drop=0.5 | skip_drop=0.5,500,0.01,4,0.5,0.5,4,0.813640730067243,0.8144303146103586,0.813640730067243,0.8105495995099441,0.9625738114535803,0.9124427401247233
n_estimators=500 | learning_rate=0.01 | max_depth=4 | rate_drop=0.5 | skip_drop=0.5,500,0.01,4,0.5,0.5,5,0.8077847188851514,0.8110098387375925,0.8077847188851514,0.8048582810670436,0.9528068517373026,0.890615222331675
n_estimators=500 | learning_rate=0.01 | max_depth=10 | rate_drop=0.1 | skip_drop=0.1,500,0.01,10,0.1,0.1,1,0.8559077809798271,0.8655678080308461,0.8559077809798271,0.8523967298899027,0.9837477528844077,0.9606038530631813
n_estimators=500 | learning_rate=0.01 | max_depth=10 | rate_drop=0.1 | skip_drop=0.1,500,0.01,10,0.1,0.1,2,0.8496637848222862,0.8619318205804504,0.8496637848222862,0.84465206393334,0.9846660185707693,0.963436847324519
n_estimators=500 | learning_rate=0.01 | max_depth=10 | rate_drop=0.1 | skip_drop=0.1,500,0.01,10,0.1,0.1,3,0.8607108549471661,0.8721957089110743,0.8607108549471661,0.8566519344772862,0.9831935358440046,0.9586683134492098
n_estimators=500 | learning_rate=0.01 | max_depth=10 | rate_drop=0.1 | skip_drop=0.1,500,0.01,10,0.1,0.1,4,0.8453410182516811,0.8374559620699462,0.8453410182516811,0.8331953079470876,0.9835687525656911,0.9623369937171181
n_estimators=500 | learning_rate=0.01 | max_depth=10 | rate_drop=0.1 | skip_drop=0.1,500,0.01,10,0.1,0.1,5,0.829889476213359,0.8451958807682849,0.829889476213359,0.8178551710855739,0.9801502404439486,0.95247873385921
n_estimators=500 | learning_rate=0.01 | max_depth=10 | rate_drop=0.1 | skip_drop=0.5,500,0.01,10,0.1,0.5,1,0.9125840537944284,0.9129599323471103,0.9125840537944284,0.9126179381796251,0.9898841624829762,0.9737905920142746
n_estimators=500 | learning_rate=0.01 | max_depth=10 | rate_drop=0.1 | skip_drop=0.5,500,0.01,10,0.1,0.5,2,0.909221902017291,0.9095427581292314,0.909221902017291,0.9092327620461755,0.9895749317814625,0.9723013616585409
n_estimators=500 | learning_rate=0.01 | max_depth=10 | rate_drop=0.1 | skip_drop=0.5,500,0.01,10,0.1,0.5,3,0.9173871277617676,0.9173883258846703,0.9173871277617676,0.9173780950128801,0.9887881537801831,0.9710309992942288
n_estimators=500 | learning_rate=0.01 | max_depth=10 | rate_drop=0.1 | skip_drop=0.5,500,0.01,10,0.1,0.5,4,0.9106628242074928,0.911320459231122,0.9106628242074928,0.9106852278188015,0.9885990635189552,0.9713350944133581
n_estimators=500 | learning_rate=0.01 | max_depth=10 | rate_drop=0.1 | skip_drop=0.5,500,0.01,10,0.1,0.5,5,0.8952426717924075,0.896022108131557,0.8952426717924075,0.8952676018386908,0.9857218573798098,0.9619324745056668
n_estimators=500 | learning_rate=0.01 | max_depth=10 | rate_drop=0.5 | skip_drop=0.1,500,0.01,10,0.5,0.1,1,0.8126801152737753,0.8195974168754593,0.8126801152737753,0.7978956069916361,0.9829762661998762,0.9596697893104649
n_estimators=500 | learning_rate=0.01 | max_depth=10 | rate_drop=0.5 | skip_drop=0.1,500,0.01,10,0.5,0.1,2,0.8141210374639769,0.8226673573268424,0.8141210374639769,0.7983823185134971,0.9843947813159962,0.962071547269209
