tag,n_estimators,learning_rate,max_depth,rate_drop,lambda_,n_measurements,fold,accuracy,precision,recall,F1,auroc,prauc
n_estimators=500 | learning_rate=0.01 | max_depth=4 | rate_drop=0.1 | lambda_=5 | n_measurements=None,500,0.01,4,0.1,5.0,,3,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.6304801040224157,0.44476345958838664
n_estimators=500 | learning_rate=0.01 | max_depth=4 | rate_drop=0.1 | lambda_=5 | n_measurements=None,500,0.01,4,0.1,5.0,,4,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.6932271131574537,0.49853037337580225
n_estimators=500 | learning_rate=0.01 | max_depth=4 | rate_drop=0.1 | lambda_=5 | n_measurements=None,500,0.01,4,0.1,5.0,,5,0.4423076923076923,0.19563609467455623,0.4423076923076923,0.27128205128205124,0.6381661979932153,0.48907372055324727
n_estimators=500 | learning_rate=0.01 | max_depth=4 | rate_drop=0.5 | lambda_=0.1 | n_measurements=None,500,0.01,4,0.5,0.1,,1,0.4380952380952381,0.19192743764172335,0.4380952380952381,0.26691895301166824,0.9229859016134941,0.8377324648378729
n_estimators=500 | learning_rate=0.01 | max_depth=4 | rate_drop=0.5 | lambda_=0.1 | n_measurements=None,500,0.01,4,0.5,0.1,,2,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.9021420444021063,0.8286427406995522
n_estimators=500 | learning_rate=0.01 | max_depth=4 | rate_drop=0.5 | lambda_=0.1 | n_measurements=None,500,0.01,4,0.5,0.1,,3,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.9729411617698512,0.9403306729361645
n_estimators=500 | learning_rate=0.01 | max_depth=4 | rate_drop=0.5 | lambda_=0.1 | n_measurements=None,500,0.01,4,0.5,0.1,,4,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.9456607099279957,0.8880991985327884
n_estimators=500 | learning_rate=0.01 | max_depth=4 | rate_drop=0.5 | lambda_=0.1 | n_measurements=None,500,0.01,4,0.5,0.1,,5,0.4423076923076923,0.19563609467455623,0.4423076923076923,0.27128205128205124,0.9376901370198136,0.8808636646294162
n_estimators=500 | learning_rate=0.01 | max_depth=4 | rate_drop=0.5 | lambda_=5 | n_measurements=None,500,0.01,4,0.5,5.0,,1,0.4380952380952381,0.19192743764172335,0.4380952380952381,0.26691895301166824,0.6806807439701681,0.526590935493443
n_estimators=500 | learning_rate=0.01 | max_depth=4 | rate_drop=0.5 | lambda_=5 | n_measurements=None,500,0.01,4,0.5,5.0,,2,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.6560035237666817,0.5260706912305781
n_estimators=500 | learning_rate=0.01 | max_depth=4 | rate_drop=0.5 | lambda_=5 | n_measurements=None,500,0.01,4,0.5,5.0,,3,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.6079005436332577,0.42098964312750975
n_estimators=500 | learning_rate=0.01 | max_depth=4 | rate_drop=0.5 | lambda_=5 | n_measurements=None,500,0.01,4,0.5,5.0,,4,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.6725210147036773,0.4847062565572948
n_estimators=500 | learning_rate=0.01 | max_depth=4 | rate_drop=0.5 | lambda_=5 | n_measurements=None,500,0.01,4,0.5,5.0,,5,0.4423076923076923,0.19563609467455623,0.4423076923076923,0.27128205128205124,0.6320039582254098,0.4707189007501454
n_estimators=500 | learning_rate=0.01 | max_depth=10 | rate_drop=0.1 | lambda_=0.1 | n_measurements=None,500,0.01,10,0.1,0.1,,1,0.4380952380952381,0.19192743764172335,0.4380952380952381,0.26691895301166824,0.9373108455422504,0.8660678867411999
n_estimators=500 | learning_rate=0.01 | max_depth=10 | rate_drop=0.1 | lambda_=0.1 | n_measurements=None,500,0.01,10,0.1,0.1,,2,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.9555537179634187,0.9018608150296998
n_estimators=500 | learning_rate=0.01 | max_depth=10 | rate_drop=0.1 | lambda_=0.1 | n_measurements=None,500,0.01,10,0.1,0.1,,3,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.987158244614385,0.9693321026236148
n_estimators=500 | learning_rate=0.01 | max_depth=10 | rate_drop=0.1 | lambda_=0.1 | n_measurements=None,500,0.01,10,0.1,0.1,,4,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.9642662568101166,0.9190299060854256
n_estimators=500 | learning_rate=0.01 | max_depth=10 | rate_drop=0.1 | lambda_=0.1 | n_measurements=None,500,0.01,10,0.1,0.1,,5,0.4423076923076923,0.19563609467455623,0.4423076923076923,0.27128205128205124,0.9607153502163623,0.9175498318939612
n_estimators=500 | learning_rate=0.01 | max_depth=10 | rate_drop=0.1 | lambda_=5 | n_measurements=None,500,0.01,10,0.1,5.0,,1,0.4380952380952381,0.19192743764172335,0.4380952380952381,0.26691895301166824,0.6669065201557476,0.5180089213906806
n_estimators=500 | learning_rate=0.01 | max_depth=10 | rate_drop=0.1 | lambda_=5 | n_measurements=None,500,0.01,10,0.1,5.0,,2,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.7055442727398351,0.5912189217751318
