tag,iterations,depth,learning_rate,l2_leaf_reg,fold,accuracy,precision,recall,F1,auroc,prauc
iterations=500 | depth=10 | learning_rate=0.01 | l2_leaf_reg=5,500,10,0.01,5,3,0.8866474543707973,0.8869731698929507,0.8866474543707973,0.8860405111203004,0.9850717404112865,0.9591216499917268
iterations=500 | depth=10 | learning_rate=0.01 | l2_leaf_reg=5,500,10,0.01,5,4,0.8914505283381364,0.8922913393003676,0.8914505283381364,0.8912476047370537,0.9844826343259104,0.9580944123260672
iterations=500 | depth=10 | learning_rate=0.01 | l2_leaf_reg=5,500,10,0.01,5,5,0.8601633829889476,0.862288434657127,0.8601633829889476,0.8599974154348486,0.9784273882674664,0.9439334553028256
iterations=500 | depth=10 | learning_rate=0.1 | l2_leaf_reg=1,500,10,0.1,1,1,0.9217098943323727,0.9222387703488502,0.9217098943323727,0.9218846510003577,0.9917705426837009,0.9785519461403925
iterations=500 | depth=10 | learning_rate=0.1 | l2_leaf_reg=1,500,10,0.1,1,2,0.9221902017291066,0.9229911794843442,0.9221902017291066,0.9223875268236572,0.9918549024274712,0.9777665469451465
iterations=500 | depth=10 | learning_rate=0.1 | l2_leaf_reg=1,500,10,0.1,1,3,0.9193083573487032,0.9194431955552941,0.9193083573487032,0.9193567596390549,0.9923310910694347,0.9782698068708676
iterations=500 | depth=10 | learning_rate=0.1 | l2_leaf_reg=1,500,10,0.1,1,4,0.9212295869356388,0.9212444340762092,0.9212295869356388,0.9211425072313512,0.9919046420458197,0.9772897419682605
iterations=500 | depth=10 | learning_rate=0.1 | l2_leaf_reg=1,500,10,0.1,1,5,0.9120615088899567,0.9125645614407907,0.9120615088899567,0.9121793210144087,0.9896682141027571,0.9712988061762148
iterations=500 | depth=10 | learning_rate=0.1 | l2_leaf_reg=5,500,10,0.1,5,1,0.9183477425552353,0.9189336565695294,0.9183477425552353,0.9185497853369935,0.9913678938757644,0.9773601230063945
iterations=500 | depth=10 | learning_rate=0.1 | l2_leaf_reg=5,500,10,0.1,5,2,0.9226705091258406,0.9233498928774171,0.9226705091258406,0.9228288729435881,0.9916247736720821,0.9771345087696961
iterations=500 | depth=10 | learning_rate=0.1 | l2_leaf_reg=5,500,10,0.1,5,3,0.9226705091258406,0.9228769407383365,0.9226705091258406,0.9227618299618158,0.99194376483532,0.9776908766468737
iterations=500 | depth=10 | learning_rate=0.1 | l2_leaf_reg=5,500,10,0.1,5,4,0.920749279538905,0.9208071185711686,0.920749279538905,0.9206880972282023,0.9920497047139593,0.9777887105977784
iterations=500 | depth=10 | learning_rate=0.1 | l2_leaf_reg=5,500,10,0.1,5,5,0.9086977414704469,0.9093716252469636,0.9086977414704469,0.9088440209503683,0.9891820660327568,0.9698500890097983
