tag,n_estimators,learning_rate,max_depth,lambda_,n_measurements,fold,accuracy,precision,recall,F1,auroc,prauc
n_estimators=100 | learning_rate=0.1 | max_depth=4 | lambda_=5 | n_measurements=None,100,0.1,4,5.0,,2,0.5,0.4927447552447553,0.5,0.4451894600690339,0.6496993699264082,0.5174222501291804
n_estimators=100 | learning_rate=0.1 | max_depth=4 | lambda_=5 | n_measurements=None,100,0.1,4,5.0,,3,0.5288461538461539,0.547602089268756,0.5288461538461539,0.46404305712669686,0.6700356345867182,0.49805666989029984
n_estimators=100 | learning_rate=0.1 | max_depth=4 | lambda_=5 | n_measurements=None,100,0.1,4,5.0,,4,0.5480769230769231,0.5436678030804537,0.5480769230769231,0.47603998565537026,0.7049585586221293,0.5105218049380201
n_estimators=100 | learning_rate=0.1 | max_depth=4 | lambda_=5 | n_measurements=None,100,0.1,4,5.0,,5,0.47115384615384615,0.4792401175213675,0.47115384615384615,0.44487443923065023,0.6703932763170991,0.5330459615179077
n_estimators=100 | learning_rate=0.1 | max_depth=10 | lambda_=0.1 | n_measurements=None,100,0.1,10,0.1,,1,0.7428571428571429,0.7443121693121693,0.7428571428571429,0.7416377823992605,0.9287890067414443,0.8620263086776283
n_estimators=100 | learning_rate=0.1 | max_depth=10 | lambda_=0.1 | n_measurements=None,100,0.1,10,0.1,,2,0.8269230769230769,0.8334168894830659,0.8269230769230769,0.8233074612823852,0.9685481037519221,0.9222111577152255
n_estimators=100 | learning_rate=0.1 | max_depth=10 | lambda_=0.1 | n_measurements=None,100,0.1,10,0.1,,3,0.9519230769230769,0.9542307692307692,0.9519230769230769,0.9515224358974359,0.9949592642575098,0.9825731896672537
n_estimators=100 | learning_rate=0.1 | max_depth=10 | lambda_=0.1 | n_measurements=None,100,0.1,10,0.1,,4,0.8557692307692307,0.8595663265306123,0.8557692307692307,0.8563589135517685,0.9727120507822261,0.9455763472276291
n_estimators=100 | learning_rate=0.1 | max_depth=10 | lambda_=0.1 | n_measurements=None,100,0.1,10,0.1,,5,0.8365384615384616,0.8143686670472385,0.8365384615384616,0.8248937605880495,0.9754003986535748,0.9560678771355365
n_estimators=100 | learning_rate=0.1 | max_depth=10 | lambda_=5 | n_measurements=None,100,0.1,10,5.0,,1,0.5333333333333333,0.5564457881918199,0.5333333333333333,0.47772399106482344,0.6566645129356449,0.5225661112158573
n_estimators=100 | learning_rate=0.1 | max_depth=10 | lambda_=5 | n_measurements=None,100,0.1,10,5.0,,2,0.49038461538461536,0.44855769230769227,0.49038461538461536,0.4372553630338632,0.6780967470208956,0.5466757880802825
n_estimators=100 | learning_rate=0.1 | max_depth=10 | lambda_=5 | n_measurements=None,100,0.1,10,5.0,,3,0.49038461538461536,0.42685255263520017,0.49038461538461536,0.3932119293961399,0.663088213243012,0.49922503172478544
n_estimators=100 | learning_rate=0.1 | max_depth=10 | lambda_=5 | n_measurements=None,100,0.1,10,5.0,,4,0.5673076923076923,0.5853375048966044,0.5673076923076923,0.5030379826891455,0.7177139839291542,0.5258468025096928
n_estimators=100 | learning_rate=0.1 | max_depth=10 | lambda_=5 | n_measurements=None,100,0.1,10,5.0,,5,0.49038461538461536,0.5050944669365722,0.49038461538461536,0.450534991324465,0.6685173788098713,0.532700101185462
n_estimators=500 | learning_rate=0.01 | max_depth=4 | lambda_=0.1 | n_measurements=None,500,0.01,4,0.1,,1,0.7619047619047619,0.7629774734122561,0.7619047619047619,0.7585128827312537,0.934849476388713,0.8708592382705319
n_estimators=500 | learning_rate=0.01 | max_depth=4 | lambda_=0.1 | n_measurements=None,500,0.01,4,0.1,,2,0.7980769230769231,0.8026640604765606,0.7980769230769231,0.7912160446813912,0.9720654388611045,0.923224387236918
n_estimators=500 | learning_rate=0.01 | max_depth=4 | lambda_=0.1 | n_measurements=None,500,0.01,4,0.1,,3,0.9230769230769231,0.9286068411800018,0.9230769230769231,0.9220965604973841,0.9932686059879041,0.9796682133252479
n_estimators=500 | learning_rate=0.01 | max_depth=4 | lambda_=0.1 | n_measurements=None,500,0.01,4,0.1,,4,0.8557692307692307,0.8623215326340327,0.8557692307692307,0.8574322097730911,0.970887689308742,0.9427721107153869
n_estimators=500 | learning_rate=0.01 | max_depth=4 | lambda_=0.1 | n_measurements=None,500,0.01,4,0.1,,5,0.8173076923076923,0.8061688311688312,0.8173076923076923,0.8059322072317122,0.9758752324617418,0.9575860359183859
n_estimators=500 | learning_rate=0.01 | max_depth=4 | lambda_=5 | n_measurements=None,500,0.01,4,5.0,,1,0.5142857142857142,0.5058478776125835,0.5142857142857142,0.4374542013582362,0.6409066631743472,0.4911254314945937
