tag,C,class_weight,decision_function_shape,tol,gamma,coef0,fold,accuracy,precision,recall,F1,auroc,prauc
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=1 | coef0=5,0.1,balanced,ovr,0.1,1.0,5,5,0.08793849111004325,0.21871347318356024,0.08793849111004325,0.09799052925239175,0.6170189064325243,0.43360915092223956
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=1 | gamma=0.01 | coef0=0,0.1,balanced,ovr,1.0,0.01,0,1,0.3112391930835735,0.3512542102450066,0.3112391930835735,0.29815323526087845,0.6805832574706336,0.45385320078139035
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=1 | gamma=0.01 | coef0=0,0.1,balanced,ovr,1.0,0.01,0,2,0.32372718539865514,0.4148125663028284,0.32372718539865514,0.30571777050534327,0.6962551423748923,0.4761839293109701
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=1 | gamma=0.01 | coef0=0,0.1,balanced,ovr,1.0,0.01,0,3,0.3275696445725264,0.4355400187880742,0.3275696445725264,0.32775310972764315,0.66878494637255,0.45274022311326595
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=1 | gamma=0.01 | coef0=0,0.1,balanced,ovr,1.0,0.01,0,4,0.2881844380403458,0.3528093829524582,0.2881844380403458,0.2880221110741565,0.68310319187829,0.456174513565004
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=1 | gamma=0.01 | coef0=0,0.1,balanced,ovr,1.0,0.01,0,5,0.2719846227775108,0.3422974516554811,0.2719846227775108,0.2623657946895521,0.6738925601619857,0.4438304134778916
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=1 | gamma=0.01 | coef0=1,0.1,balanced,ovr,1.0,0.01,1,1,0.2829010566762728,0.48626805333798523,0.2829010566762728,0.3013343458842147,0.6539536620334298,0.438230796683673
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=1 | gamma=0.01 | coef0=1,0.1,balanced,ovr,1.0,0.01,1,2,0.3016330451488953,0.5554282826201462,0.3016330451488953,0.3112375018428543,0.6777169097898699,0.46781764524617786
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=1 | gamma=0.01 | coef0=1,0.1,balanced,ovr,1.0,0.01,1,3,0.27761767531219983,0.3888475500551387,0.27761767531219983,0.25066258485192194,0.6558220331591835,0.4427200964224744
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=1 | gamma=0.01 | coef0=1,0.1,balanced,ovr,1.0,0.01,1,4,0.26993275696445723,0.3787511801797524,0.26993275696445723,0.28413223838796126,0.6647150514381492,0.448394362759697
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=1 | gamma=0.01 | coef0=1,0.1,balanced,ovr,1.0,0.01,1,5,0.27438731379144643,0.4109278976123954,0.27438731379144643,0.31139834551835616,0.6531408895217585,0.4410187890617789
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=1 | gamma=0.01 | coef0=5,0.1,balanced,ovr,1.0,0.01,5,1,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.3368980829033859,0.2633389187595582
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=1 | gamma=0.01 | coef0=5,0.1,balanced,ovr,1.0,0.01,5,2,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.31560497748250205,0.24313859182972042
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=1 | gamma=0.01 | coef0=5,0.1,balanced,ovr,1.0,0.01,5,3,0.2223823246878002,0.04945389833355019,0.2223823246878002,0.0809139617528106,0.3479730921949466,0.2693151121242031
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=1 | gamma=0.01 | coef0=5,0.1,balanced,ovr,1.0,0.01,5,4,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.3252380348541411,0.24603899537139073
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=1 | gamma=0.01 | coef0=5,0.1,balanced,ovr,1.0,0.01,5,5,0.2542047092743873,0.07779660570699058,0.2542047092743873,0.11912112486696641,0.3433751419764683,0.2517835355184743
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=1 | gamma=0.1 | coef0=0,0.1,balanced,ovr,1.0,0.1,0,1,0.15561959654178675,0.27848596699491285,0.15561959654178675,0.17024033988893258,0.6409052706451551,0.4070078095412533
