tag,C,class_weight,decision_function_shape,tol,gamma,fold,accuracy,precision,recall,F1,auroc,prauc
C=1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.01,1.0,balanced,ovr,0.1,0.01,1,0.47790585975024014,0.5877379821844135,0.47790585975024014,0.4795735596592648,0.8114676291584935,0.6191003268678212
C=1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.01,1.0,balanced,ovr,0.1,0.01,2,0.5,0.636821782809122,0.5,0.5022808814436149,0.8301915231508463,0.6452886534655906
C=1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.01,1.0,balanced,ovr,0.1,0.01,3,0.4932756964457253,0.6111909803622929,0.4932756964457253,0.4933072461790042,0.8179383101609214,0.6316074097921084
C=1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.01,1.0,balanced,ovr,0.1,0.01,4,0.5019212295869356,0.6195606538587033,0.5019212295869356,0.5013462506176894,0.8118196377978785,0.6233875217047151
C=1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.01,1.0,balanced,ovr,0.1,0.01,5,0.45843344545891396,0.5872042059709836,0.45843344545891396,0.4599090306861346,0.8065280056555316,0.6165006596601472
C=1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.1,1.0,balanced,ovr,0.1,0.1,1,0.7584053794428435,0.7942615964113947,0.7584053794428435,0.7608018997611016,0.9519954174484325,0.8883493088515952
C=1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.1,1.0,balanced,ovr,0.1,0.1,2,0.7756964457252642,0.8118163608040835,0.7756964457252642,0.7786837247147311,0.9558795458804773,0.8937201488778541
C=1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.1,1.0,balanced,ovr,0.1,0.1,3,0.7843419788664745,0.8222560172014579,0.7843419788664745,0.787510522182078,0.9610675073514596,0.9052159954255418
C=1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.1,1.0,balanced,ovr,0.1,0.1,4,0.7665706051873199,0.810923767370959,0.7665706051873199,0.7695190225321086,0.9566011446528127,0.8942276199368352
C=1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.1,1.0,balanced,ovr,0.1,0.1,5,0.7582892839980778,0.8026734511527586,0.7582892839980778,0.7624620517573167,0.9483358672568576,0.8770508928137113
C=1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=1,1.0,balanced,ovr,0.1,1.0,1,0.8837656099903939,0.8980179650793885,0.8837656099903939,0.8861659095454529,0.9847330796059163,0.9571858413304296
C=1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=1,1.0,balanced,ovr,0.1,1.0,2,0.8904899135446686,0.9072746402439357,0.8904899135446686,0.893084709770688,0.9851614766641706,0.9587900079443202
C=1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=1,1.0,balanced,ovr,0.1,1.0,3,0.9010566762728146,0.9129984268503731,0.9010566762728146,0.903175935575809,0.9865795162861442,0.9616587051579604
C=1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=1,1.0,balanced,ovr,0.1,1.0,4,0.8919308357348703,0.9048171994879248,0.8919308357348703,0.8941754210374523,0.9875904575568332,0.9644830848096883
C=1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=1,1.0,balanced,ovr,0.1,1.0,5,0.8856319077366651,0.899073433367906,0.8856319077366651,0.8877724876236206,0.9835919204409613,0.9525833279390117
C=1 | class_weight=balanced | decision_function_shape=ovr | tol=1 | gamma=0.01,1.0,balanced,ovr,1.0,0.01,1,0.4769452449567723,0.6322296619204207,0.4769452449567723,0.4747473114599633,0.8139960748469047,0.6140014318415691
C=1 | class_weight=balanced | decision_function_shape=ovr | tol=1 | gamma=0.01,1.0,balanced,ovr,1.0,0.01,2,0.48655139289145055,0.6451229953651868,0.48655139289145055,0.48549142191107275,0.8316012120924045,0.6358262325311353
C=1 | class_weight=balanced | decision_function_shape=ovr | tol=1 | gamma=0.01,1.0,balanced,ovr,1.0,0.01,3,0.43707973102785785,0.6393264194607928,0.43707973102785785,0.437792510036194,0.8249152365945763,0.6346360243044488
C=1 | class_weight=balanced | decision_function_shape=ovr | tol=1 | gamma=0.01,1.0,balanced,ovr,1.0,0.01,4,0.4817483189241114,0.625830894710281,0.4817483189241114,0.4802430447241716,0.8134381948385442,0.6159052468258481
C=1 | class_weight=balanced | decision_function_shape=ovr | tol=1 | gamma=0.01,1.0,balanced,ovr,1.0,0.01,5,0.44161460836136474,0.5932595675098504,0.44161460836136474,0.4490569829604422,0.808582673922124,0.6082245669936669
C=1 | class_weight=balanced | decision_function_shape=ovr | tol=1 | gamma=0.1,1.0,balanced,ovr,1.0,0.1,1,0.75552353506244,0.7940655017506105,0.75552353506244,0.7583141327187523,0.9492983271404346,0.8835846115253824
C=1 | class_weight=balanced | decision_function_shape=ovr | tol=1 | gamma=0.1,1.0,balanced,ovr,1.0,0.1,2,0.7670509125840538,0.8103115401964907,0.7670509125840538,0.7698497573955551,0.9555448979312298,0.8899845894170303
C=1 | class_weight=balanced | decision_function_shape=ovr | tol=1 | gamma=0.1,1.0,balanced,ovr,1.0,0.1,3,0.7833813640730067,0.826762725509234,0.7833813640730067,0.7860711119626214,0.9559578529573419,0.8932928650018301
C=1 | class_weight=balanced | decision_function_shape=ovr | tol=1 | gamma=0.1,1.0,balanced,ovr,1.0,0.1,4,0.7723342939481268,0.8245615513755253,0.7723342939481268,0.7742278526801066,0.9502744819685227,0.8826784457206066
C=1 | class_weight=balanced | decision_function_shape=ovr | tol=1 | gamma=0.1,1.0,balanced,ovr,1.0,0.1,5,0.7554060547813551,0.8050345512038322,0.7554060547813551,0.7587598837909337,0.9449617920346437,0.8680419944998885
C=1 | class_weight=balanced | decision_function_shape=ovr | tol=1 | gamma=1,1.0,balanced,ovr,1.0,1.0,1,0.8823246878001921,0.8968643766508902,0.8823246878001921,0.8846943319117416,0.9809132883310466,0.9448623310665331
C=1 | class_weight=balanced | decision_function_shape=ovr | tol=1 | gamma=1,1.0,balanced,ovr,1.0,1.0,2,0.8876080691642652,0.9044874755234915,0.8876080691642652,0.8900478921751749,0.9819968890314552,0.9457200393383518
C=1 | class_weight=balanced | decision_function_shape=ovr | tol=1 | gamma=1,1.0,balanced,ovr,1.0,1.0,3,0.8972142170989433,0.9089257298175505,0.8972142170989433,0.8992342353079451,0.9847370793085499,0.9582969674219645
