tag,C,class_weight,decision_function_shape,tol,fold,accuracy,precision,recall,F1,auroc,prauc
C=1 | class_weight=balanced | decision_function_shape=ovo | tol=0.1,1.0,balanced,ovo,0.1,3,0.3645533141210375,0.5259228603594238,0.3645533141210375,0.35018924993728,0.7168858555654971,0.4495575290034388
C=1 | class_weight=balanced | decision_function_shape=ovo | tol=0.1,1.0,balanced,ovo,0.1,4,0.3688760806916426,0.5075353516649831,0.3688760806916426,0.3454224696434869,0.7282735270953988,0.4605944742744894
C=1 | class_weight=balanced | decision_function_shape=ovo | tol=0.1,1.0,balanced,ovo,0.1,5,0.3584814992791927,0.4962673201668464,0.3584814992791927,0.3318164324061238,0.7187366003814901,0.44743300423375015
C=1 | class_weight=balanced | decision_function_shape=ovo | tol=1,1.0,balanced,ovo,1.0,1,0.35830931796349663,0.484975012612931,0.35830931796349663,0.3419473421128829,0.7251158106560125,0.4609782735142417
C=1 | class_weight=balanced | decision_function_shape=ovo | tol=1,1.0,balanced,ovo,1.0,2,0.3703170028818444,0.5425918692386994,0.3703170028818444,0.34875694337154256,0.742544316355447,0.48792267505108133
C=1 | class_weight=balanced | decision_function_shape=ovo | tol=1,1.0,balanced,ovo,1.0,3,0.35110470701248797,0.49548239379659975,0.35110470701248797,0.33499030823500603,0.7199281006516678,0.44805691880559134
C=1 | class_weight=balanced | decision_function_shape=ovo | tol=1,1.0,balanced,ovo,1.0,4,0.36263208453410184,0.4965028666270282,0.36263208453410184,0.33160066021786466,0.7339693017313162,0.4589169370338706
C=1 | class_weight=balanced | decision_function_shape=ovo | tol=1,1.0,balanced,ovo,1.0,5,0.3623258049014897,0.4900231288759391,0.3623258049014897,0.33613819800574896,0.7224399514363226,0.44780200579498114
C=1 | class_weight=balanced | decision_function_shape=ovo | tol=10,1.0,balanced,ovo,10.0,1,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30576018219383744
C=1 | class_weight=balanced | decision_function_shape=ovo | tol=10,1.0,balanced,ovo,10.0,2,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.3059502750348119
C=1 | class_weight=balanced | decision_function_shape=ovo | tol=10,1.0,balanced,ovo,10.0,3,0.4462055715658021,0.19909941209636414,0.4462055715658021,0.27534040251386926,0.5,0.30541413940080153
C=1 | class_weight=balanced | decision_function_shape=ovo | tol=10,1.0,balanced,ovo,10.0,4,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30563191566521886
