tag,n_estimators,learning_rate,max_depth,subsample,colsample_bytree,fold,accuracy,precision,recall,F1,auroc,prauc
n_estimators=100 | learning_rate=0.5 | max_depth=20 | subsample=1 | colsample_bytree=0.5,100,0.5,20,1.0,0.5,2,0.7680115273775217,0.7682427174728906,0.7680115273775217,0.7680700719431919,0.933664754853543,0.8481117499978327
n_estimators=100 | learning_rate=0.5 | max_depth=20 | subsample=1 | colsample_bytree=0.5,100,0.5,20,1.0,0.5,3,0.7732949087415946,0.7716987734579026,0.7732949087415946,0.7717603945137221,0.9324704348956703,0.8402387299195963
n_estimators=100 | learning_rate=0.5 | max_depth=20 | subsample=1 | colsample_bytree=0.5,100,0.5,20,1.0,0.5,4,0.7704130643611912,0.7717367988310784,0.7704130643611912,0.7708075991140476,0.9323997089850872,0.8365199304920548
n_estimators=100 | learning_rate=0.5 | max_depth=20 | subsample=1 | colsample_bytree=0.5,100,0.5,20,1.0,0.5,5,0.7544449783757808,0.7539032006969989,0.7544449783757808,0.7538885687289507,0.9265083059626679,0.8221600821901486
n_estimators=100 | learning_rate=0.5 | max_depth=20 | subsample=1 | colsample_bytree=1,100,0.5,20,1.0,1.0,1,0.920268972142171,0.9202120924266937,0.920268972142171,0.9202059472738796,0.991327978827161,0.9764142950929822
n_estimators=100 | learning_rate=0.5 | max_depth=20 | subsample=1 | colsample_bytree=1,100,0.5,20,1.0,1.0,2,0.9178674351585014,0.9179833979502141,0.9178674351585014,0.9179076568064922,0.9902512973306988,0.973450677185463
n_estimators=100 | learning_rate=0.5 | max_depth=20 | subsample=1 | colsample_bytree=1,100,0.5,20,1.0,1.0,3,0.9169068203650336,0.9170323590711813,0.9169068203650336,0.9169631828377541,0.990481468236899,0.9744380183045308
n_estimators=100 | learning_rate=0.5 | max_depth=20 | subsample=1 | colsample_bytree=1,100,0.5,20,1.0,1.0,4,0.9125840537944284,0.9127734161136395,0.9125840537944284,0.912470710793257,0.9892334031480413,0.9700793216566204
n_estimators=100 | learning_rate=0.5 | max_depth=20 | subsample=1 | colsample_bytree=1,100,0.5,20,1.0,1.0,5,0.9024507448342143,0.9022205913629666,0.9024507448342143,0.9022014920740143,0.9879670868878639,0.9649976783975566
n_estimators=500 | learning_rate=0.1 | max_depth=10 | subsample=0.5 | colsample_bytree=0.5,500,0.1,10,0.5,0.5,1,0.7809798270893372,0.7803266873011135,0.7809798270893372,0.7805741384172694,0.9375828060226068,0.8549094383710032
n_estimators=500 | learning_rate=0.1 | max_depth=10 | subsample=0.5 | colsample_bytree=0.5,500,0.1,10,0.5,0.5,2,0.7728146013448607,0.7729251233973109,0.7728146013448607,0.7727700274127188,0.9348945351693925,0.8515619471556347
n_estimators=500 | learning_rate=0.1 | max_depth=10 | subsample=0.5 | colsample_bytree=0.5,500,0.1,10,0.5,0.5,3,0.776657060518732,0.7743099420760313,0.776657060518732,0.7745378689836102,0.9342754735276076,0.84334632552757
n_estimators=500 | learning_rate=0.1 | max_depth=10 | subsample=0.5 | colsample_bytree=0.5,500,0.1,10,0.5,0.5,4,0.7737752161383286,0.7747463677213988,0.7737752161383286,0.7740808205587129,0.9345307605698844,0.8418414984208722
n_estimators=500 | learning_rate=0.1 | max_depth=10 | subsample=0.5 | colsample_bytree=0.5,500,0.1,10,0.5,0.5,5,0.7558865929841423,0.7551516937739906,0.7558865929841423,0.7550418877391282,0.9283312600161437,0.8273303576167192
n_estimators=500 | learning_rate=0.1 | max_depth=10 | subsample=0.5 | colsample_bytree=1,500,0.1,10,0.5,1.0,1,0.9226705091258406,0.9228698441424542,0.9226705091258406,0.9227068079524162,0.9914765585596131,0.9772173730791128
