tag,n_estimators,learning_rate,max_depth,subsample,colsample_bytree,fold,accuracy,precision,recall,F1,auroc,prauc
n_estimators=100 | learning_rate=0.1 | max_depth=10 | subsample=0.5 | colsample_bytree=0.5,100,0.1,10,0.5,0.5,1,0.7670509125840538,0.7644827978158354,0.7670509125840538,0.7638926925442302,0.9316078465876417,0.8380324188861117
n_estimators=100 | learning_rate=0.5 | max_depth=10 | subsample=1 | colsample_bytree=0.5,100,0.5,10,1.0,0.5,3,0.7737752161383286,0.7722538234520717,0.7737752161383286,0.7721683131104174,0.93389423134524,0.8434646094212236
n_estimators=100 | learning_rate=0.5 | max_depth=10 | subsample=1 | colsample_bytree=0.5,100,0.5,10,1.0,0.5,4,0.776657060518732,0.7772708244992753,0.776657060518732,0.7767366845981655,0.9344373780836467,0.8418928684130935
n_estimators=100 | learning_rate=0.5 | max_depth=10 | subsample=1 | colsample_bytree=0.5,100,0.5,10,1.0,0.5,5,0.7578087457952907,0.7572739484112174,0.7578087457952907,0.7573220583070909,0.9278689408598254,0.8255626235868079
n_estimators=100 | learning_rate=0.5 | max_depth=10 | subsample=1 | colsample_bytree=1,100,0.5,10,1.0,1.0,1,0.9221902017291066,0.9222465445999823,0.9221902017291066,0.9221317523788024,0.9914452119675474,0.9767829604201338
n_estimators=100 | learning_rate=0.5 | max_depth=10 | subsample=1 | colsample_bytree=1,100,0.5,10,1.0,1.0,2,0.914505283381364,0.9148633510053499,0.914505283381364,0.9146409611593759,0.9906840379055183,0.9748478007362733
n_estimators=100 | learning_rate=0.5 | max_depth=10 | subsample=1 | colsample_bytree=1,100,0.5,10,1.0,1.0,3,0.9169068203650336,0.9171934426531694,0.9169068203650336,0.9170326191529227,0.9910381266499205,0.9756656144965604
n_estimators=100 | learning_rate=0.5 | max_depth=10 | subsample=1 | colsample_bytree=1,100,0.5,10,1.0,1.0,4,0.909221902017291,0.9097034757350286,0.909221902017291,0.9093353082073207,0.989914137062389,0.9713335035431617
n_estimators=100 | learning_rate=0.5 | max_depth=10 | subsample=1 | colsample_bytree=1,100,0.5,10,1.0,1.0,5,0.9014896684286401,0.9011784631387224,0.9014896684286401,0.9012720338135576,0.9885178436350767,0.967360175846551
n_estimators=100 | learning_rate=0.5 | max_depth=20 | subsample=0.5 | colsample_bytree=0.5,100,0.5,20,0.5,0.5,1,0.7680115273775217,0.7670688588825424,0.7680115273775217,0.7674352216512293,0.9333776963750424,0.8457005491652625
n_estimators=100 | learning_rate=0.5 | max_depth=20 | subsample=0.5 | colsample_bytree=0.5,100,0.5,20,0.5,0.5,2,0.7627281460134486,0.7628669811263966,0.7627281460134486,0.7627005692853958,0.9294733767297543,0.8408538751450729
n_estimators=100 | learning_rate=0.5 | max_depth=20 | subsample=0.5 | colsample_bytree=0.5,100,0.5,20,0.5,0.5,3,0.7713736791546589,0.7690458771388383,0.7713736791546589,0.7694425838743096,0.9308418855586499,0.8344698556632849
n_estimators=100 | learning_rate=0.5 | max_depth=20 | subsample=0.5 | colsample_bytree=0.5,100,0.5,20,0.5,0.5,4,0.7617675312199808,0.7627713915889901,0.7617675312199808,0.7621519374481612,0.9305988807255743,0.8319908222023845
n_estimators=100 | learning_rate=0.5 | max_depth=20 | subsample=0.5 | colsample_bytree=0.5,100,0.5,20,0.5,0.5,5,0.7578087457952907,0.7581416777323747,0.7578087457952907,0.7577070202346071,0.924132167660429,0.8179973063790356
n_estimators=100 | learning_rate=0.5 | max_depth=20 | subsample=0.5 | colsample_bytree=1,100,0.5,20,0.5,1.0,1,0.9183477425552353,0.9185218571303543,0.9183477425552353,0.9183755095168686,0.9901978218531429,0.9741876532753008
n_estimators=100 | learning_rate=0.5 | max_depth=20 | subsample=0.5 | colsample_bytree=1,100,0.5,20,0.5,1.0,2,0.9149855907780979,0.915128330331967,0.9149855907780979,0.9150527194913509,0.990013154558445,0.9733270787102829
n_estimators=100 | learning_rate=0.5 | max_depth=20 | subsample=0.5 | colsample_bytree=1,100,0.5,20,0.5,1.0,3,0.9188280499519692,0.9190774822607974,0.9188280499519692,0.9189428968947195,0.9898745752616959,0.9728228981408359
n_estimators=100 | learning_rate=0.5 | max_depth=20 | subsample=0.5 | colsample_bytree=1,100,0.5,20,0.5,1.0,4,0.9106628242074928,0.91105816381773,0.9106628242074928,0.9107221082167519,0.9879797868098708,0.9679400410654405
n_estimators=100 | learning_rate=0.5 | max_depth=20 | subsample=0.5 | colsample_bytree=1,100,0.5,20,0.5,1.0,5,0.9019702066314272,0.9018481192583868,0.9019702066314272,0.9018849591108171,0.9874696772049145,0.9645977286214407
n_estimators=100 | learning_rate=0.5 | max_depth=20 | subsample=1 | colsample_bytree=0.5,100,0.5,20,1.0,0.5,1,0.7752161383285303,0.774460438968451,0.7752161383285303,0.7747645450799998,0.9355766905593031,0.8498097561787478
