paradigm,model,config,acc,precision,recall,f1,mcc,auroc,prauc,composite,gap_f1,train_f1
Classical,XGB-gbtree,XGB-gbtree_R1_lr0.3_md6_n400_lam1_pca12,0.8979082968127159,0.9113837439624648,0.8848153482549197,0.8934046393358701,0.8543982284850011,0.9843589448808592,0.9519338818599714,0.9241792118127806,0.1065953606641298,1.0
Classical,XGB-dart,XGB-dart_R1_lr0.3_md6_n400_lam1_pca12,0.8979082968127159,0.9113837439624648,0.8848153482549197,0.8934046393358701,0.8543982284850011,0.9843589448808592,0.9519338818599714,0.9241792118127806,0.1065953606641298,1.0
Quantum,QSVC-reup_full,QSVC-reup_full_R1_C1_pca12,0.900899415651657,0.9159057132599288,0.8663031609870879,0.8807119050106837,0.8581168323782581,0.9895329157197632,0.962249839468602,0.924006720222805,0.1192391652073731,0.9999510702180568
Quantum,QSVC-y_full,QSVC-y_full_R1_C1_pca12,0.905604052168048,0.920221025635642,0.8297834256506655,0.852990314342037,0.8645757648955945,0.9900807434486986,0.9540577898932326,0.9131119955610224,0.1469284296575302,0.9999187439995672
Quantum,QSVC-full,QSVC-full_R1_C1_pca12,0.905604052168048,0.920221025635642,0.8297834256506655,0.852990314342037,0.8645757648955945,0.9901417430222076,0.9540397839092184,0.9131059935663508,0.1469284296575302,0.9999187439995672
Quantum,QSVC-circular,QSVC-circular_R1_C1_pca12,0.90407501894538,0.9195607438467184,0.8272549747533141,0.8510105083175722,0.8623990667863938,0.989928208663884,0.954766446692993,0.9123254961345874,0.148908235681995,0.9999187439995672
Quantum,QSVC-y_circular,QSVC-y_circular_R1_C1_pca12,0.90407501894538,0.9195607438467184,0.8272549747533141,0.8510105083175722,0.8623990667863938,0.9898922697280954,0.954503513855957,0.9122378518555752,0.148908235681995,0.9999187439995672
Quantum,QSVC-linear,QSVC-linear_R1_C1_pca12,0.9039787725546196,0.9195206009751148,0.827169504667844,0.8509445231463404,0.8622602070320078,0.9898524151160506,0.9533180798828336,0.9117975688483928,0.1489742208532268,0.9999187439995672
Quantum,QSVC-y_linear,QSVC-y_linear_R1_C1_pca12,0.9039787725546196,0.9195206009751148,0.827169504667844,0.8509445231463404,0.8622602070320078,0.9897759377618752,0.9532828213380508,0.911785816000132,0.1489742208532268,0.9999187439995672
Quantum,QSVC-full_cosine,QSVC-full_cosine_R1_C1_pca12,0.8970858259928441,0.9123653108394292,0.8213684560796498,0.8438505476107746,0.852599825024482,0.98811601138943,0.9486373799891454,0.9062626133707204,0.1560681628931712,0.999918710503946
Quantum,QSVC-circular_cosine,QSVC-circular_cosine_R1_C1_pca12,0.896698910794002,0.9125180186488752,0.8188110511280338,0.8413106936340823,0.8519542474872999,0.9881665842318564,0.948805677987489,0.9053644984550736,0.1586080168698636,0.999918710503946
